Filename,Href
en~CBN-001~2022-09-01.txt,https://canadabuys.canada.ca/en/support
en~CBN-001~2022-09-01.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#2003
en~CBN-001~2022-09-01.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#2003ACB
en~CBN-001~2022-09-01.txt,"https://canadabuys.canada.ca/en/support
"
en~CBN-001~2022-09-01.txt,https://canadabuys.canada.ca/en/support/email-us
en~CBN-001~2022-09-01.txt,mailto:tpsgc.outilsdapprovisionnement-procurementtools.pwgsc@tpsgc-pwgsc.gc.ca
en~CBN-001~2022-09-01.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#2003ACB
en~CBN-002~2022-10-19.txt,https://canadabuys.canada.ca/en/support
en~CBN-002~2022-10-19.txt,https://canadabuys.canada.ca/en/support/email-us
en~CBN-002~2022-10-19.txt,mailto:TPSGC.Outilsdapprovisionnement-ProcurementTools.PWGSC@tpsgc-pwgsc.gc.ca
en~CBN-002~2022-10-19.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#2004ACB
en~CBN-003~2023-04-24.txt,https://canadabuys.canada.ca/en/support
en~CBN-003~2023-04-24.txt,https://canadabuys.canada.ca/en/support/email-us
en~CBN-003~2023-04-24.txt,mailto:TPSGC.Outilsdapprovisionnement-ProcurementTools.PWGSC@tpsgc-pwgsc.gc.ca
en~CBN-003~2023-04-24.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#2030ACB
en~CBN-003~2023-04-24.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#2035ACB
en~PN-03R2~2020-05-04.txt,https://www.canada.ca/en/treasury-board-secretariat/services/policy-notice/changes-contracting-limits-approval-new-requirements.html
en~PN-03R2~2020-05-04.txt,mailto:TPSGC.PAPolitiques-APPolicy.PWGSC@tpsgc-pwgsc.gc.ca
en~PN-03R2~2020-05-04.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/supply-manual/chapter-3#_3-90
en~PN-03R2~2020-05-04.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/supply-manual/chapter-6-annexes#_6-4
en~PN-03R2~2020-05-04.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/supply-manual/chapter-7#_7-65
en~PN-03R2~2020-05-04.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#A3025C
en~PN-03R2~2020-05-04.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#A3025T
en~PN-03R2~2020-05-04.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#A3026T
en~PN-03R2~2020-05-04.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#M3025T
en~PN-03R2~2020-05-04.txt,https://canadabuys.canada.ca/en/how-procurement-works/policies-and-guidelines/standard-acquisition-clauses-and-conditions-manual#M3026T
en~PN-03R~2007-11-26.txt,http://www.tbs-sct.gc.ca/pubs_pol/dcgpubs/contracting/contractingpol_e.asp
en~PN-03R~2007-11-26.txt,#PN-03Rannexa
en~PN-03R~2007-11-26.txt,#PN-03Rannexb
en~PN-03R~2007-11-26.txt,http://www.tpsgc-pwgsc.gc.ca/app-acq/lc-pl/index-eng.html
en~PN-03R~2007-11-26.txt,https://buyandsell.gc.ca/policy-and-guidelines/supply-manual/section
en~PN-03R~2007-11-26.txt,https://buyandsell.gc.ca/policy-and-guidelines/supply-manual/section/6d-482
en~PN-03R~2007-11-26.txt,https://buyandsell.gc.ca/policy-and-guidelines/supply-manual/section/6d-481
